               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11281,            0.025851,                   0,            0.000625,             0.13158,          0.00053095,          0.00013526,             0.10527,            0.016655,                   0,            0.070811,           0.0032432,           0.0032432
                   1,            0.093557,            0.019726,                   0,           0.0010833,             0.22807,           0.0038958,            0.000878,            0.094871,             0.01374,                   0,            0.040767,           0.0065332,           0.0065332
                   2,            0.085108,            0.016961,                   0,             0.00175,             0.36842,           0.0056477,           0.0012577,             0.10011,            0.011376,                   0,             0.01068,           0.0097791,           0.0097791
                   3,            0.079935,            0.015745,                   0,            0.002125,             0.44737,            0.033483,           0.0064803,            0.090904,            0.012057,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.071945,            0.017204,                   0,           0.0035417,             0.74561,             0.15514,            0.071082,            0.082124,            0.012448,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.067162,            0.015939,                   0,             0.10817,             0.24561,             0.11849,             0.03331,            0.072715,            0.013515,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.058492,            0.017237,                   0,             0.26009,             0.19298,             0.10891,            0.049385,            0.066633,            0.013356,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.054584,            0.015234,                   0,             0.40205,             0.19466,             0.18159,            0.063107,            0.062939,            0.013543,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.053076,            0.014264,                   0,             0.35354,             0.30702,              0.2032,            0.071854,            0.062666,            0.012443,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.052597,            0.014066,                   0,             0.38737,             0.24561,             0.25023,            0.067333,            0.064408,            0.010817,                   0,            0.009472,            0.009472,            0.009472
                  10,             0.05026,            0.012774,                   0,             0.58873,             0.35088,             0.44698,             0.15744,            0.061414,            0.010535,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.047182,            0.012737,                   0,             0.56426,             0.36842,             0.44903,             0.19412,            0.053812,            0.011252,                   0,             0.00934,             0.00934,             0.00934
                  12,             0.04749,            0.011322,                   0,             0.73714,             0.44281,             0.51963,             0.24917,            0.055327,            0.010862,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.043271,            0.011759,                   0,             0.50124,             0.49123,             0.41505,             0.15657,            0.058328,           0.0097093,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.045113,            0.010258,                   0,             0.52511,                 0.5,              0.4553,             0.14442,            0.057052,           0.0090432,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.044267,           0.0094679,                   0,             0.76603,             0.58772,             0.65403,             0.24286,            0.054404,           0.0088561,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.043342,           0.0092018,                   0,             0.79959,             0.62997,             0.69464,             0.27757,            0.051335,           0.0088487,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.042894,           0.0084868,                   0,             0.77627,             0.58772,             0.66232,             0.25152,            0.050672,           0.0088475,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.039715,           0.0087599,                   0,             0.63979,             0.60526,             0.53915,             0.18419,            0.052556,           0.0081213,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.042393,           0.0087761,                   0,             0.78442,             0.61404,             0.68653,              0.2341,            0.052878,           0.0083452,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.040819,           0.0081736,                   0,             0.82251,             0.66667,             0.72388,             0.30247,            0.050333,           0.0082651,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.040134,            0.008303,                   0,             0.78538,             0.64201,             0.72785,             0.27029,            0.051262,           0.0082979,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.037454,           0.0083649,                   0,             0.72086,             0.62281,             0.64535,             0.24615,            0.051989,           0.0083676,                   0,            0.008614,            0.008614,            0.008614
                  23,             0.03819,           0.0081125,                   0,             0.77467,             0.63333,             0.71797,             0.27657,            0.048902,           0.0081835,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.036216,           0.0077431,                   0,             0.74312,             0.63158,             0.68372,             0.24906,            0.051239,           0.0082814,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.038624,           0.0077674,                   0,             0.84803,             0.68533,              0.7653,              0.2945,            0.046779,           0.0079181,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.036696,            0.007496,                   0,              0.8685,             0.67544,             0.76982,             0.27532,            0.048367,            0.007961,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.038633,           0.0079164,                   0,             0.84839,             0.68724,             0.77539,             0.32832,            0.047084,           0.0080346,                   0,            0.008284,            0.008284,            0.008284
